Alpha,Avg Train MSE,CV MSE Std,Test MSE
0.01,6.301378339451548e-06,9.125580182991983e-06,0.0017454408784085497
0.1,6.194175025555075e-06,9.173847100915187e-06,0.0016954371639936374
1.0,6.230638628350853e-06,9.894431326396707e-06,0.0015544628331251983
10.0,6.736203577901343e-06,1.1410133547184785e-05,0.001712712869192686
100.0,1.1597289220581147e-05,1.7245676015999074e-05,0.0020392633588667006
1000.0,6.609586537769654e-05,8.945481100747388e-05,0.0023877625329535566
